ID, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, TIME, YEAR
1201,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,2
1203,1,1,0,0,1,1,1,0,0,0,1,0,0,0,3,2
1214,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2
1301,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3
1307,1,1,0,1,1,1,1,1,1,1,1,0,1,1,3,3
1308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
1310,1,1,0,1,1,1,1,1,1,1,0,0,0,1,3,3
1311,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3
1312,1,1,0,0,1,1,1,1,1,0,1,1,1,1,3,3
1313,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3
1314,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3
1316,1,1,0,0,0,0,0,1,0,0,1,0,1,1,3,3
1318,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,3
1321,1,1,0,1,1,0,1,1,0,0,1,0,0,0,3,3
2203,1,1,0,1,1,1,1,1,1,0,1,0,1,1,3,2
2206,1,0,0,0,1,0,1,0,0,0,1,0,1,1,3,2
2207,1,1,0,1,1,0,0,1,0,0,1,0,0,1,3,2
2209,1,1,0,1,1,1,1,1,1,0,1,0,0,1,3,2
2210,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
2211,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,2
2212,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2
2213,1,1,0,0,1,1,0,1,0,0,1,0,1,0,3,2
2214,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,2
2216,1,1,0,0,1,0,0,0,0,0,1,0,1,1,3,2
2217,0,1,0,1,1,0,0,1,1,0,1,0,1,1,3,2
2218,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2
2219,1,1,0,1,1,1,1,0,0,0,1,0,0,1,3,2
2301,1,1,0,0,1,1,1,1,0,0,1,0,1,0,3,3
2302,1,1,0,1,1,1,1,1,1,1,1,0,1,0,3,3
2303,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,3
2304,1,1,1,0,1,0,1,1,1,1,1,0,1,0,3,3
2309,1,0,0,1,1,1,1,1,0,0,1,0,0,1,3,3
2312,1,1,1,1,1,1,1,1,1,0,1,0,1,1,3,3
2313,1,1,0,1,1,0,1,1,1,1,0,0,1,0,3,3
3201,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,2
3203,0,1,1,1,1,1,1,0,0,0,0,0,0,0,3,2
3303,1,1,0,1,1,1,0,1,1,1,0,0,1,1,3,3
3304,1,0,0,1,1,1,1,1,0,0,0,0,1,1,3,3
3305,1,1,0,0,1,1,0,1,0,0,0,0,0,1,3,3
3306,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,3
4303,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,3
4307,1,1,0,1,1,1,1,1,1,0,1,0,0,1,3,3
